,color_space,spatial_feat,spatial_size,hist_feat,hist_bins,hog_feat,orient,pix_per_cell,cell_per_block,hog_channel,clf_name,train_time,accuracy
80,RGB,True,"(16, 16)",False,16,False,9,8,2,1,dt,3.556,0.8992
81,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_1_linear,18.577,0.9067
82,RGB,True,"(16, 16)",False,16,False,9,8,2,1,nb,0.043,0.7717
83,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_1_rbf,6.226,0.9667
84,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_10_rbf,5.033,0.975
85,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_10_linear,67.139,0.8767
86,RGB,True,"(16, 16)",False,16,False,9,8,2,2,dt,3.764,0.8825
87,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_1_linear,16.247,0.8925
88,RGB,True,"(16, 16)",False,16,False,9,8,2,2,nb,0.046,0.7767
89,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_1_rbf,6.19,0.9667
90,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_10_rbf,4.802,0.9683
91,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_10_linear,56.6,0.8958
92,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,dt,4.108,0.8933
93,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_1_linear,15.747,0.9067
94,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,nb,0.043,0.7642
95,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_1_rbf,6.021,0.9575
96,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_10_rbf,16.103,0.9867
97,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_10_linear,12.202,0.9458
98,RGB,True,"(16, 16)",False,16,True,9,8,2,0,dt,14.264,0.895
99,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_1_linear,12.187,0.9458
100,RGB,True,"(16, 16)",False,16,True,9,8,2,0,nb,0.175,0.785
101,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_1_rbf,19.309,0.9667
102,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_10_rbf,15.396,0.985
103,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_10_linear,11.846,0.9567
104,RGB,True,"(16, 16)",False,16,True,9,8,2,1,dt,18.841,0.9058
105,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_1_linear,11.853,0.9567
106,RGB,True,"(16, 16)",False,16,True,9,8,2,1,nb,0.196,0.8225
107,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_1_rbf,18.863,0.9675
108,RGB,True,"(16, 16)",False,16,True,9,8,2,2,SVC_10_rbf,15.224,0.985
109,RGB,True,"(16, 16)",False,16,True,9,8,2,2,SVC_10_linear,12.112,0.9492
110,RGB,True,"(16, 16)",False,16,True,9,8,2,2,dt,17.96,0.9017
111,RGB,True,"(16, 16)",False,16,True,9,8,2,2,SVC_1_linear,12.121,0.9492
112,RGB,True,"(16, 16)",False,16,True,9,8,2,2,nb,0.199,0.8158
113,RGB,True,"(16, 16)",False,16,True,9,8,2,2,SVC_1_rbf,19.001,0.9758
114,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,SVC_10_rbf,37.685,0.985
115,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,SVC_10_linear,27.97,0.9617
116,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,dt,30.411,0.8917
117,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,SVC_1_linear,27.941,0.9617
118,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,nb,0.469,0.8042
119,RGB,True,"(16, 16)",False,16,True,9,8,2,ALL,SVC_1_rbf,48.724,0.9725
120,RGB,True,"(16, 16)",True,16,False,9,8,2,0,SVC_10_rbf,5.097,0.975
121,RGB,True,"(16, 16)",True,16,False,9,8,2,0,SVC_10_linear,65.44,0.8767
122,RGB,True,"(16, 16)",True,16,False,9,8,2,0,dt,2.988,0.8975
123,RGB,True,"(16, 16)",True,16,False,9,8,2,0,SVC_1_linear,16.572,0.8942
124,RGB,True,"(16, 16)",True,16,False,9,8,2,0,nb,0.045,0.7783
125,RGB,True,"(16, 16)",True,16,False,9,8,2,0,SVC_1_rbf,6.498,0.9642
126,RGB,True,"(16, 16)",True,16,False,9,8,2,1,SVC_10_rbf,4.942,0.9717
127,RGB,True,"(16, 16)",True,16,False,9,8,2,1,SVC_10_linear,60.653,0.8817
128,RGB,True,"(16, 16)",True,16,False,9,8,2,1,dt,3.345,0.8908
129,RGB,True,"(16, 16)",True,16,False,9,8,2,1,SVC_1_linear,16.321,0.9008
130,RGB,True,"(16, 16)",True,16,False,9,8,2,1,nb,0.045,0.7867
131,RGB,True,"(16, 16)",True,16,False,9,8,2,1,SVC_1_rbf,6.526,0.9583
132,RGB,True,"(16, 16)",True,16,False,9,8,2,2,SVC_10_rbf,5.023,0.9742
133,RGB,True,"(16, 16)",True,16,False,9,8,2,2,SVC_10_linear,76.434,0.8992
134,RGB,True,"(16, 16)",True,16,False,9,8,2,2,dt,3.854,0.8908
135,RGB,True,"(16, 16)",True,16,False,9,8,2,2,SVC_1_linear,17.181,0.9167
136,RGB,True,"(16, 16)",True,16,False,9,8,2,2,nb,0.052,0.7675
137,RGB,True,"(16, 16)",True,16,False,9,8,2,2,SVC_1_rbf,6.456,0.96
